review,score,label,at,cleaned_review
pengiriman tepat waktu dan selalu melakukan inovasi baru❤️,0.0,neutral,2025-06-03 23:32:44,pengiriman inovasi
pakai apk ini susah regist nya.. kode tidak valid mulu udah coba beberapa kali.. pdahal br pengen pake layanan nextday nyaa.. dh gitu lihat review disini kok mengecewakan yaa ? alasannya hampir sama semua karna lambat pengiriman & krg layanan yg jelas.,0.0,neutral,2025-06-03 21:46:02,pakai apk susah regist nya kode valid mulu udah coba kali pdahal pengen pake layanan nextday nyaa gitu lihat review mengecewakan yaa alasannya karna lambat pengiriman krg layanan
ayoooo download gaessss,0.0,neutral,2025-06-03 13:28:20,ayoooo download gaessss
skrg mau lacak kiriman /cek tarif/atau request pick up layanan kantor pos bisa dari ujung jari alias pakai app pos aj..mantap tranformasi digital👍,0.0,neutral,2025-06-03 11:11:29,skrg lacak kiriman cek tarif request pick layanan kantor pos ujung jari alias pakai app pos mantap tranformasi digital
"Pick up kiriman dirumah, pasti bisa dgn PosAja",0.0,neutral,2025-06-03 10:43:17,pick kiriman dirumah dgn posaja
"aplikasi untuk mempermudah kita cek tarifnya kiriman, dan bisa melakukan lacak kiriman. bahkan ada layanan pickup kiriman yg menjadi salah satu keunggulan dari aplikasi ini.",0.0,neutral,2025-06-03 10:38:21,aplikasi mempermudah cek tarifnya kiriman lacak kiriman layanan pickup kiriman salah keunggulan aplikasi
"Kalo lagi Mager ngirim barang, cukup pake Aplikasi PosAja! Paket bisa diambil kerumah, pengiriman dan transaksi barang juga sangat bagus. Tingkatkan terus, hanya di PosAja!🔥🔥🔥",0.0,neutral,2025-06-03 08:39:03,kalo mager ngirim barang pake aplikasi posaja paket diambil kerumah pengiriman transaksi barang bagus tingkatkan posaja
"Apknya sangat bagus, mempermudah saya, gak perlu lagi antar paket ke kantornya langsung, paketnya bisa di ambil pak posnya🥰",0.0,neutral,2025-06-03 07:48:44,apknya bagus mempermudah gak paket kantornya langsung paketnya ambil posnya
"paling suka kirim paket via pos Indonesia, pengiriman cepat, mudah dilacak, mantap sekali terimakasih",0.0,neutral,2025-06-03 07:48:00,suka kirim paket via pos indonesia pengiriman cepat mudah dilacak mantap terimakasih
"Sangat membantu utk pengiriman paket,tidak perlu lagi ke kantor pos. cukup dengan Posaja",0.0,neutral,2025-06-03 07:30:52,membantu utk pengiriman paket kantor pos posaja
"menggunakan apk pos aja sangat membantu terutama untuk pengecekan tarif kiriman, pick up barang serta bisa pengiriman barang sistem cod.",0.0,neutral,2025-06-03 07:21:54,apk pos aja membantu pengecekan tarif kiriman pick barang pengiriman barang sistem cod
Aplikasi nya sangat cocok dan bagus untuk layanan tentang kiriman surat dan paket. sangat membantu untuk bisa melacak kiriman sampai mana dan dimana. apalagi di tambah layanannya bisa kirim paket dari rumah dan akan di jemput oleh petugas posnya. mantap hanya lewat genggaman semua jadi mudah. 🤩🤩,0.0,neutral,2025-06-03 07:15:03,aplikasi nya cocok bagus layanan kiriman surat paket membantu melacak kiriman dimana layanannya kirim paket rumah jemput petugas posnya mantap genggaman mudah
"Cukup puas dengan aplikasi nya, mempermudah proses pengiriman surat dan paket, fitur nya juga yang menarik, seperti kemudahan order, penyimpanan data kiriman, berbagai pilihan layanan pengiriman, dan real team tracking.",0.0,neutral,2025-06-03 06:56:33,puas aplikasi nya mempermudah proses pengiriman surat paket fitur nya menarik kemudahan order penyimpanan data kiriman pilihan layanan pengiriman real team tracking
"kirim barang aman dan mudah ya lewat kantor pos, barang pindahan juga bisa, pick up kiriman ke rumah.. tentu bisa.. via PosAja",0.0,neutral,2025-06-03 06:49:16,kirim barang aman mudah kantor pos barang pindahan pick kiriman rumah via posaja
"aplikasi yg sangat membantu kalo kirim paket dan dokumen tidak usah repot ke kantor bisa dari rumah aja ,pak pos siap jemput",0.0,neutral,2025-06-03 06:49:01,aplikasi membantu kalo kirim paket dokumen repot kantor rumah aja pos jemput
Aplikasi Pos Aja pengiriman dokumen & Paket dsb,0.0,neutral,2025-06-03 06:27:31,aplikasi pos aja pengiriman dokumen paket dsb
mantap maju terus pos IND.,0.0,neutral,2025-06-03 06:15:56,mantap maju pos ind
"wajib bangett ini di punya sama seller2 online, karna memudahkan banget buat kirim2 barang, simpel jg pengoperasiannya, mantappp",0.0,neutral,2025-06-03 06:04:53,wajib bangett seller2 online karna memudahkan banget kirim2 barang simpel pengoperasiannya mantappp
"dengan adanya posaja kita bisa kirim2 barang, ngecek biaya kiriman, kirim paket dari rumah aja jg bisa, jd sangat membantu sekali",0.0,neutral,2025-06-03 05:57:05,posaja kirim2 barang ngecek biaya kiriman kirim paket rumah aja membantu
Keren..cek ongkir dan lacak gampang banget,0.0,neutral,2025-06-03 05:47:53,keren cek ongkir lacak gampang banget
Posaja makin bagus aja,0.0,neutral,2025-06-03 05:45:25,posaja bagus aja
"aplikasi yg sangat bermanfaat , kirim paket dr rumah aja pak pos siap jenput ke rumah",0.0,neutral,2025-06-03 05:34:39,aplikasi bermanfaat kirim paket rumah aja pos jenput rumah
"setiap akan order paket, eror terus",0.0,neutral,2025-06-02 23:56:28,order paket eror
lamban..rusak,0.0,neutral,2025-06-02 21:21:53,lamban rusak
MUDAH DAN CEPAT,0.0,neutral,2025-05-31 15:15:28,mudah cepat
"akun pengiriman aja,sulit di akses masuk aja susah,lho mau duit engga mau akses aja susah",0.0,neutral,2025-05-31 10:49:40,akun pengiriman aja sulit akses masuk aja susah lho duit engga akses aja susah
nyobain pengiriman pos di shopee ternyata luama pantes kalah saing dengan ekspedisi lain,0.0,neutral,2025-05-31 08:44:31,nyobain pengiriman pos shopee luama pantes kalah saing ekspedisi
"Biaya pengiriman sangat mahal dr aplikasi se jenis. estimasi pengiriman 4 hari tpi sdah 1 mnggu brang belum di antar, nnti ambil sendiri di drop poin. Pake Jnt di tujuan yg sama dr jnt byarannya 56rb tp pake pos aja biayanya 148rb. 😥😥😥😥😥",-0.2732,negative,2025-05-31 04:51:43,biaya pengiriman mahal aplikasi jenis estimasi pengiriman tpi sdah mnggu brang nnti ambil drop poin pake jnt tujuan jnt byarannya 56rb pake pos aja biayanya 148rb
Ayo lah POS. Ini adalah BUMN besar dan legend. Aplikasi Pos aja terlalu sering error. Tunjukkan lah pos memiliki sdm yang memadai.,-0.4019,negative,2025-05-31 04:02:29,ayo pos bumn legend aplikasi pos aja error tunjukkan pos memiliki sdm memadai
"coba tolong di perbaiki dari sistemnya jasa ekspedisi paling tua harusnya paling maju malah bobrok.. paket dokument penting ga sampe sampe kerumah.. dengan alasan yg ""bersangkutan tidak berhasil di kirim yg bersangkutan tidak di kenal"" satu kampung kenal gua.. itu kurir ngirimnya kemana.. payah kalah sama ekspedisi lain",0.0,neutral,2025-05-30 04:06:17,coba tolong perbaiki sistemnya jasa ekspedisi tua maju bobrok paket dokument sampe sampe kerumah alasan bersangkutan berhasil kirim bersangkutan kenal kampung kenal gua kurir ngirimnya kemana payah kalah ekspedisi
buruk,0.0,neutral,2025-05-27 07:02:25,buruk
Pos itu pengiriman paling parah... pesan barang via online status resi nya nyampe tujuan diterima tapi barang blm nyampe di tangan saya.. entah barang nyasar ke mana cek status resi barangfo terima orang rmh gak ada yg nerima.. pos itu pengiriman terparah.,0.0,neutral,2025-05-27 06:10:37,pos pengiriman parah pesan barang via online status resi nya nyampe tujuan diterima barang blm nyampe tangan barang nyasar cek status resi barangfo terima orang rmh gak nerima pos pengiriman terparah
pos aja yg terbaik,0.0,neutral,2025-05-27 00:02:27,pos aja terbaik
bagus sekali,0.0,neutral,2025-05-26 23:07:03,bagus
Terimakasih,0.0,neutral,2025-05-26 20:45:48,terimakasih
membantu pengiriman bgt,0.0,neutral,2025-05-26 03:01:02,membantu pengiriman bgt
lancar,0.0,neutral,2025-05-25 23:37:29,lancar
apknya simple ..good lah 👍👍,0.0,neutral,2025-05-24 12:27:42,apknya simple good
medan sunggal bodoh kali pekerja di sana salah salur di lion parcel juga sama pernah hilang juga di sana paket langganan ku kemaren uang COD di makan di tilep,0.0,neutral,2025-05-24 04:38:42,medan sunggal bodoh kali pekerja salah salur lion parcel hilang paket langganan kemaren uang cod makan tilep
"saya salah satu pedagang si Oren.. TOLONG Adain pembayaran COD nya juga dong . supaya saya kirim paketnya pokus ke POs saja, alias tidak nganah ngeneh. Terimakasih",0.0,neutral,2025-05-24 04:31:32,salah pedagang oren tolong adain pembayaran cod nya kirim paketnya pokus pos alias nganah ngeneh terimakasih
Web tidak update. mau cek ongkir lacak paket semua ga bisa,0.0,neutral,2025-05-23 12:27:22,web update cek ongkir lacak paket
mau cek tarif aja susah. internal eror segala macem.,0.0,neutral,2025-05-23 08:23:23,cek tarif aja susah internal eror macem
Layanan pos yang terbaik,0.0,neutral,2025-05-23 02:47:48,layanan pos terbaik
wkwk pake jasa kilat harus datang sekarang malah kaga rugi boss udh bayar ini,0.0,neutral,2025-05-21 13:49:25,wkwk pake jasa kilat kaga rugi boss udh bayar
Pelayanan nya cs nya cepat,0.0,neutral,2025-05-20 08:46:24,pelayanan nya nya cepat
kinerja POS Indonesia tidak mengecewakan. Selalu memberikan pelayanan terbaik untuk pelanggan semua kalangan dengan berbagai kebutuhan. Terimakasih. sukses selalu POS INDONESIA.,0.0,neutral,2025-05-20 05:55:33,kinerja pos indonesia mengecewakan pelayanan terbaik pelanggan kalangan kebutuhan terimakasih sukses pos indonesia
"mantap,sangat membatu pengiriman paket tercepat",0.0,neutral,2025-05-19 16:00:59,mantap membatu pengiriman paket tercepat
3 bintang dlu nnti sdh datng barang baru kashi 5 bintang🌟,0.0,neutral,2025-05-19 07:31:30,bintang dlu nnti sdh datng barang kashi bintang
"lah kok gak bisa diubah jika sudah diklik,,",0.0,neutral,2025-05-18 23:35:52,gak diubah diklik
saya mau registrasi gagal terus ya kode tidak valid tlisannya,0.0,neutral,2025-05-18 19:03:42,registrasi gagal kode valid tlisannya
"Aplikasi bodoh, dan lambat pengiriman nya. Ngk sesuai",0.0,neutral,2025-05-18 05:35:31,aplikasi bodoh lambat pengiriman nya ngk sesuai
"sistemnya kurang canggih karna saya mengalai order pengiriman sudah bayar pake qr tpi karna kiril lambat ambi saya cencel tapi uang ongkir tidak lahi masuk pospay malah hilang entah kemana , lapor halo pos tidak ada hasil sama sekali , sangat mengecewakan",0.0,neutral,2025-05-16 11:25:05,sistemnya canggih karna mengalai order pengiriman bayar pake tpi karna kiril lambat ambi cencel uang ongkir lahi masuk pospay hilang kemana lapor halo pos hasil mengecewakan
good apk,0.4404,positive,2025-05-16 08:50:09,good apk
"tolong kalo rekrut kurir yg profesional,paket blom diterima,tapi di cek di aplikasi sudah diterima",0.0,neutral,2025-05-16 03:19:38,tolong kalo rekrut kurir profesional paket blom diterima cek aplikasi diterima
sumpah cukup kali ini aja pake pos lama bgt barang mau di pke juga,0.0,neutral,2025-05-16 01:30:54,sumpah kali aja pake pos bgt barang pke
aplikasinya jelek masa mau registrasi gak bisa bisa,0.0,neutral,2025-05-15 22:52:34,aplikasinya jelek registrasi gak
mantappps,0.0,neutral,2025-05-15 22:01:06,mantappps
mantap,0.0,neutral,2025-05-15 18:34:11,mantap
pelayanan ya ramah jg pengiriman ya cepat emang GK ada dua pos indonesia,0.0,neutral,2025-05-15 04:08:52,pelayanan ramah pengiriman cepat emang pos indonesia
cek dl baru pakai,0.0,neutral,2025-05-15 04:00:50,cek pakai
sangat praktis.,0.0,neutral,2025-05-15 03:42:04,praktis
sangat bagus,0.0,neutral,2025-05-14 09:38:09,bagus
cek ongkir cepat tanpa ngelag,0.0,neutral,2025-05-14 04:06:39,cek ongkir cepat ngelag
Daftarnya susah,0.0,neutral,2025-05-13 21:42:53,daftarnya susah
masak alamat deket aja gak ketemu udah barang di tunggu masih di kirim ulang pulak,0.0,neutral,2025-05-13 08:28:06,masak alamat deket aja gak ketemu udah barang tunggu kirim ulang pulak
"Paket saya nginap di Kantor pos tanjung priok ga jelas kapan dikirim... niatnya mau pake pos biar mendukung ekspedisi legenda satu ini ternyata emang mengecewakan, lebih jelas pake ekspedisi lain walaupun bayar lebih mahal..",0.0,neutral,2025-05-13 06:24:02,paket nginap kantor pos tanjung priok dikirim niatnya pake pos biar mendukung ekspedisi legenda emang mengecewakan pake ekspedisi bayar mahal
ok,0.296,positive,2025-05-13 03:53:19,
FAST respon,0.0,neutral,2025-05-12 13:31:14,fast respon
"woi paket saya mau di bawah kemana masa dari alamat pengirim ke penerima jarak waktu 2 jaman, paket saya di bawah muter"" kagak jeles yang benar saya lah pos Indonesia",0.0,neutral,2025-05-12 13:25:25,woi paket kemana alamat pengirim penerima jarak jaman paket muter kagak jeles pos indonesia
sangat bagus,0.0,neutral,2025-05-12 00:15:48,bagus
ngirim kode verivikasi aja stengah mati susah,0.0,neutral,2025-05-11 23:30:48,ngirim kode verivikasi aja stengah mati susah
jelek mau masukan volumetric saja lama. trus tarif pos kargo gak muncul,0.0,neutral,2025-05-11 12:03:09,jelek masukan volumetric trus tarif pos kargo gak muncul
josss,0.0,neutral,2025-05-09 06:40:47,josss
pelayanan nya mantap,0.0,neutral,2025-05-09 02:07:35,pelayanan nya mantap
kode nya salah terus bintang 0,0.0,neutral,2025-05-05 19:03:52,kode nya salah bintang
"tolong ya pos Indonesia, paket dokumen saya sampai 3 hari belum sampai ditujuan. padahal saya menggunakan layanan next day dari Semarang ke Jogjakarta. keburu orang yg ada ditujuan gak ada di tempat dan saya harus keluar biaya lagi untuk print dokumennya. kecewa banget sama pos indonesia, yg diharapin bisa bantu dengan cepat ternyata malah bikin rencana berantakan.",0.0,neutral,2025-05-04 00:24:30,tolong pos indonesia paket dokumen ditujuan layanan next day semarang jogjakarta keburu orang ditujuan gak biaya print dokumennya kecewa banget pos indonesia diharapin bantu cepat bikin rencana berantakan
pendaftaran kode gagal terus. sangat di sayangkan sekali akan di persulit pendaftaran. auto uninstall,0.0,neutral,2025-05-04 00:01:20,pendaftaran kode gagal sayangkan persulit pendaftaran auto uninstall
"request pu gak diambil , paket pembatalan otomatis uang ga di refund balas oe 3 paket tercansel ongkir gak dikembalikan",-0.2732,negative,2025-05-03 18:03:00,request gak diambil paket pembatalan otomatis uang refund balas paket tercansel ongkir gak dikembalikan
Baru pertama kali,0.0,neutral,2025-05-03 08:56:31,kali
mantap,0.0,neutral,2025-05-03 07:29:32,mantap
"kurirnya pemalas,minta dijemput dirumahnya tapi gak mau alasannya libur",0.0,neutral,2025-05-01 06:01:07,kurirnya pemalas dijemput dirumahnya gak alasannya libur
aduh gimana sih .. paket dari sibolga ke Tarutung blom nyampe-nyampe udah 4 hari?? parah ini memang,0.0,neutral,2025-05-01 04:16:53,aduh gimana sih paket sibolga tarutung blom nyampe nyampe udah parah
mudah...poinnya berguna sekali.....jaya selalu posaja,0.0,neutral,2025-04-30 02:58:28,mudah poinnya berguna jaya posaja
"bukankah pos indonesia jasa pengiriman yang paling pertama muncul, yang seharusnya paling bagus, cobalah biar lebih menarik tampilkan posisi paket menggunakan peta, jangan cuma menggunakan kalimat, gak ada kelebihannya dari toko online.",0.0,neutral,2025-04-30 00:37:50,pos indonesia jasa pengiriman muncul bagus cobalah biar menarik tampilkan posisi paket peta kalimat gak kelebihannya toko online
"Untuk pembayaran ongkirnya nanti ini harus di bayarkan ke siapa pak , ke aplikasinya ataukah ke pihak outlet kantor POS nya ?",0.0,neutral,2025-04-29 08:04:54,pembayaran ongkirnya bayarkan aplikasinya outlet kantor pos nya
"katanya pengiriman 6-7 hari, tp sehabis lebaran kemaren kirim paket sampai 20 hari lebih,,sangat gila, sampe skrg ntah paket sudah sampai/blom jg gak jelas keberadaanya",0.0,neutral,2025-04-26 10:02:39,pengiriman sehabis lebaran kemaren kirim paket gila sampe skrg ntah paket blom gak keberadaanya
kurir tidak datang tapi status malah dbawa kurir klo bisa Bintang 0 aj,0.0,neutral,2025-04-25 23:50:25,kurir status dbawa kurir klo bintang
baru mau mencoba kirim cod,0.0,neutral,2025-04-24 14:49:51,mencoba kirim cod
ok,0.296,positive,2025-04-24 05:22:32,
Mantab...cepet nyampe nya..👍🏻,0.0,neutral,2025-04-23 08:57:18,mantab cepet nyampe nya
keren,0.0,neutral,2025-04-23 03:24:02,keren
"paket saya malah mentok kaga pernah gerak,di cek resi barang telah di proses dan siap antar Tapi kaga pernah Dateng heran",0.0,neutral,2025-04-23 02:00:27,paket mentok kaga gerak cek resi barang proses kaga dateng heran
mau mnt di update brp kali ini...gk jelas,0.0,neutral,2025-04-23 01:58:39,mnt update brp kali
coba dulu semoga bermanfaat,0.0,neutral,2025-04-22 12:10:51,coba semoga bermanfaat
terjamin,0.0,neutral,2025-04-22 08:37:31,terjamin
semoga bermanfaat,0.0,neutral,2025-04-22 01:23:08,semoga bermanfaat
paket saya dari jakarta menuju bengkayang sudah 15 hari belum sampai.... setiap di cek masih di kantor pos tukar laut tanjung priok,0.0,neutral,2025-04-21 04:55:45,paket jakarta bengkayang cek kantor pos tukar laut tanjung priok
gk guna terlalu lelet datang paket nya,0.0,neutral,2025-04-20 02:01:21,lelet paket nya
"kiriman bandung ke bogor pake yg expres,di tracking alamat tidak di temukan,padahal alamat sudah jelas sampai kode pos,no penerima juga sudah di cantumkan,padahal sesimple itu,ini kejadian ke dua kali nya,ga worth it kalau terus seperti ini",0.2263,positive,2025-04-20 00:56:50,kiriman bandung bogor pake expres tracking alamat temukan alamat kode pos penerima cantumkan sesimple kejadian kali nya worth
mau daftar masukin kode otp di kirim ke wa semua ngga valid kocak nih aplikasi,0.0,neutral,2025-04-19 21:38:02,daftar masukin kode otp kirim ngga valid kocak nih aplikasi
"pengiriman dri tgl ,11 smpe skg blum dtg2",0.0,neutral,2025-04-19 14:47:03,pengiriman dri tgl smpe skg blum dtg2
"BENERIN SISTEM PRIVASI, DATA PRIBADI BISA KESEBAR GITU AJA, LEWAT PAKET, PADAHAL PAKET KETERANGAN MASIH DI GUDANG, TAPI DATA UDAH KEMANA"" ANEH! UDAH GITU GADA TANGGUNG JAWAB PULA DATA BOCOR MALAH CUMA DIBILANG HATI""",0.0,neutral,2025-04-19 07:41:26,benerin sistem privasi data pribadi kesebar gitu aja paket paket keterangan gudang data udah kemana aneh udah gitu gada tanggung data bocor dibilang hati
layanan kureng,0.0,neutral,2025-04-19 03:45:50,layanan kureng
sangat bagus aplikasi ini,0.0,neutral,2025-04-18 13:20:51,bagus aplikasi
paket ku mutar mutar kambing pake sala jalur kirim lagi dh jelas jelas alamat nya. gak beres nih padahal dah dekat baget bisa-bisanya lewat gitu aja,0.0,neutral,2025-04-18 06:00:31,paket mutar mutar kambing pake sala jalur kirim alamat nya gak beres nih dah baget bisanya gitu aja
good job👍😁,0.4404,positive,2025-04-18 01:40:55,good job
Aplikasi eror,0.0,neutral,2025-04-18 01:37:13,aplikasi eror
"informasi nya gak jelas, setiap lacak paket tidak jelas pemberi tahuannya (DI PIKIRNYA NGIRIM PAKET GAK PAKE DUIT KALI YA)",0.0,neutral,2025-04-17 13:17:34,informasi nya gak lacak paket pemberi tahuannya pikirnya ngirim paket gak pake duit kali
ok,0.296,positive,2025-04-17 02:07:03,
gimana caranya cek kiriman paket melalui pos,0.0,neutral,2025-04-15 05:12:07,gimana cek kiriman paket pos
mantaaab serba gercep,0.0,neutral,2025-04-14 18:37:58,mantaaab serba gercep
"kenapa ya saya masukin pin tulisannya request gagal, internal server error, begitu terus",-0.4019,negative,2025-04-14 01:05:08,masukin pin tulisannya request gagal internal server error
pengiriman paket cepat dan terpecaya,0.0,neutral,2025-04-13 08:20:29,pengiriman paket cepat terpecaya
"Pengalaman pertama saya kirim paket lewat kantor pos, dan saya sangat puas. Pengirimannya cepat dan juga lancar",0.0,neutral,2025-04-13 00:48:52,pengalaman kirim paket kantor pos puas pengirimannya cepat lancar
bagus,0.0,neutral,2025-04-12 14:00:11,bagus
"Cari kurirnya yang pinter dong, masa alamat rumah tidak di temukan di status pengiriman, 2 hari pengiriman tidak sampai2",0.0,neutral,2025-04-12 10:17:11,cari kurirnya pinter alamat rumah temukan status pengiriman pengiriman sampai2
"saya kirim paket ambil yg ekspress 1 hari sampe tp sampai sekarang paket tidak sampai... padahal laporan sudah ditunggu dan paling lambat jam 12 siang ini,,gimana dong ini .. pengiriman sangat lambat",0.0,neutral,2025-04-12 06:30:54,kirim paket ambil ekspress sampe paket laporan ditunggu lambat jam siang gimana pengiriman lambat
aplikasi ini masih bisa di gunakan oleh masyarakat kah? jika sdh tidak d gunakan baiknya hilang dari playstore,0.0,neutral,2025-04-12 05:37:57,aplikasi masyarakat kah sdh baiknya hilang playstore
"Terimakasih PT. Pos Indonesia sudah mengirimkan barang dengan cepat & selamat. Sangat membantu sekali. Semoga bisa bermanfaat bagi masyarakat Indonesia yang membutuhkan jasa pengiriman yang terpercaya di pelosok negeri Indonesia. Tetap semangat untuk para pekerja di PT. Pos Indonesia, masyarakat menantimu di rumah.",0.0,neutral,2025-04-11 16:16:33,terimakasih pos indonesia mengirimkan barang cepat selamat membantu semoga bermanfaat masyarakat indonesia membutuhkan jasa pengiriman terpercaya pelosok negeri indonesia semangat pekerja pos indonesia masyarakat menantimu rumah
"saya nungguin kode verifikasi sampai berkali-kali ngga dikirim-kirim. Cek resi dialihkan ke website pos Indonesia, berkas dari samsat Temanggung untuk saya statusnya on delivery (dari jam 11-an siang), ditunggu sampai malam ngga datang2",0.0,neutral,2025-04-11 12:31:59,nungguin kode verifikasi berkali kali ngga dikirim kirim cek resi dialihkan website pos indonesia berkas samsat temanggung statusnya delivery jam siang ditunggu malam ngga datang2
mantap maju terus pos Indonesia,0.0,neutral,2025-04-05 02:31:09,mantap maju pos indonesia
"ga gunaa,paket udh sampe ke kurir pangantar ke rumah kok blum nympe rumah blm dianter udh dikasih keterangan orang nggda dirumah!!!LOL bgt,lama sampee!!!!!",0.0,neutral,2025-04-02 09:47:43,gunaa paket udh sampe kurir pangantar rumah blum nympe rumah blm dianter udh dikasih keterangan orang nggda dirumah lol bgt sampee
aplikasi yang sangat bermanfaat bagi kurir posind,0.0,neutral,2025-04-02 07:52:48,aplikasi bermanfaat kurir posind
"Pos Indonesia dr dulu beda dari yang lain. suka aja gitu, dr customer service sampai pelayanan paketnya joss. baru pertama pickup pake layanan pos indonesia. tapi kalau belanja online, yang saya cari kurir nya selalu pos Indonesia😁😁",0.0,neutral,2025-03-29 06:38:19,pos indonesia beda suka aja gitu customer service pelayanan paketnya joss pickup pake layanan pos indonesia belanja online cari kurir nya pos indonesia
mohon maaf ini jasa kirim paling lambat se-Indonesia,0.0,neutral,2025-03-27 06:56:07,mohon maaf jasa kirim lambat indonesia
gajelas otp lama,0.0,neutral,2025-03-26 07:52:45,gajelas otp
kok pas masukin kode buat login GK bisa. bisa yaa?,0.0,neutral,2025-03-25 20:27:17,pas masukin kode login yaa
bagus,0.0,neutral,2025-03-24 23:47:31,bagus
sangat membantu dan mempermudah pengiriman,0.0,neutral,2025-03-23 13:25:16,membantu mempermudah pengiriman
ok sangat mudah,0.296,positive,2025-03-22 04:33:05,mudah
Bagus Siap bersaing utk keBaikan,0.0,neutral,2025-03-21 22:24:42,bagus bersaing utk kebaikan
"pernah mau kirim pos express di aplikasi bisa sampai kantor pos katanya kode eror dan alamat tujuan tidak bisa express, ongkir tidak kembali tapi Alhamdulillah kurirnya mau mengembalikan barang ke tempat saya lagi.",0.0,neutral,2025-03-21 08:15:12,kirim pos express aplikasi kantor pos kode eror alamat tujuan express ongkir alhamdulillah kurirnya mengembalikan barang
"aplikasi ga jelas ,kode valid smuah",0.0,neutral,2025-03-20 20:25:09,aplikasi kode valid smuah
plat merah mah sat set kalo kerja.. di laporin dari 2 bulan lalu nggak juga di kerja2in.. gimana mau majuin indonesia plat merah kayak gini.,0.0,neutral,2025-03-20 05:57:41,plat merah mah sat set kalo kerja laporin nggak kerja2in gimana majuin indonesia plat merah kayak gini
sangat cocok utk perkembangan hidup,0.0,neutral,2025-03-20 01:52:41,cocok utk perkembangan hidup
"Ini baru mau nyoba krimin barang,moga posaja lebih cepat pengirimannnya",0.0,neutral,2025-03-20 01:32:36,nyoba krimin barang moga posaja cepat pengirimannnya
Gk bisa login kode sudah di kirim pas di masukan tidak valid.,0.0,neutral,2025-03-18 21:28:13,login kode kirim pas masukan valid
Aplikasi kocak dia yang ngirim OTP dia juga yang bilang salah.,0.0,neutral,2025-03-18 21:08:52,aplikasi kocak ngirim otp bilang salah
bagus,0.0,neutral,2025-03-18 09:42:27,bagus
tidak bs cek resi.... percuma👎langaung uninstal,0.0,neutral,2025-03-18 05:29:59,cek resi langaung uninstal
Pengiriman cepat dan rahasia,0.0,neutral,2025-03-18 05:04:20,pengiriman cepat rahasia
scan pembayaran gzgsltrusqrcodenya tdkmuncul2,0.0,neutral,2025-03-17 09:46:43,scan pembayaran gzgsltrusqrcodenya tdkmuncul2
Percuma pake next day ongkir mahal² tetep aja lama 🤦,0.0,neutral,2025-03-16 19:49:55,pake next day ongkir mahal tetep aja
sangat bagus..,0.0,neutral,2025-03-15 02:57:32,bagus
pelayanan yang sangat baik,0.0,neutral,2025-03-14 14:27:19,pelayanan
